language,year,coldwar,utopia,eden,amen,sandwich,whiskey,disco,jazz
English,1900,1.70E-09,1.97E-08,1.21E-08,5.91E-07,3.69E-07,2.69E-06,1.54E-07,7.51E-09
English,1901,1.86E-09,1.98E-08,1.19E-08,5.80E-07,3.70E-07,2.72E-06,1.42E-07,7.06E-09
English,1902,1.97E-09,1.87E-08,1.16E-08,5.71E-07,3.86E-07,2.72E-06,1.22E-07,5.90E-09
English,1903,3.66E-09,1.97E-08,1.15E-08,5.61E-07,3.94E-07,2.79E-06,1.17E-07,5.83E-09
English,1904,3.43E-09,2.10E-08,1.04E-08,5.53E-07,4.02E-07,2.86E-06,1.13E-07,7.28E-09
English,1905,3.95E-09,2.17E-08,9.92E-09,5.20E-07,4.05E-07,2.93E-06,1.11E-07,6.44E-09
English,1906,1.00E-08,2.40E-08,1.00E-08,5.13E-07,4.13E-07,2.93E-06,1.04E-07,4.63E-09
English,1907,1.19E-08,2.14E-08,9.50E-09,4.91E-07,4.23E-07,3.38E-06,9.74E-08,4.19E-09
English,1908,1.24E-08,2.20E-08,9.40E-09,4.72E-07,4.37E-07,3.47E-06,9.47E-08,4.70E-09
English,1909,3.51E-08,2.31E-08,8.85E-09,4.55E-07,4.33E-07,3.46E-06,9.33E-08,4.59E-09
English,1910,3.39E-08,2.38E-08,9.06E-09,4.46E-07,4.41E-07,3.37E-06,9.32E-08,4.55E-09
English,1911,3.45E-08,2.40E-08,9.00E-09,4.33E-07,4.48E-07,3.28E-06,9.06E-08,4.32E-09
English,1912,3.56E-08,2.48E-08,9.42E-09,4.28E-07,4.65E-07,3.17E-06,8.92E-08,5.21E-09
English,1913,4.26E-08,2.70E-08,8.99E-09,4.26E-07,4.86E-07,3.09E-06,8.88E-08,5.64E-09
English,1914,4.83E-08,2.62E-08,9.39E-09,4.16E-07,5.08E-07,2.63E-06,8.72E-08,6.24E-09
English,1915,4.97E-08,2.84E-08,9.31E-09,4.06E-07,5.21E-07,2.52E-06,8.21E-08,7.96E-09
English,1916,2.86E-08,3.06E-08,8.90E-09,4.01E-07,5.41E-07,2.45E-06,7.89E-08,2.11E-08
English,1917,3.09E-08,3.38E-08,8.61E-09,3.86E-07,5.60E-07,2.44E-06,7.46E-08,5.43E-08
English,1918,3.41E-08,3.51E-08,8.91E-09,3.74E-07,5.80E-07,2.35E-06,7.43E-08,1.55E-07
English,1919,3.58E-08,3.65E-08,8.83E-09,3.67E-07,5.97E-07,2.33E-06,6.91E-08,2.80E-07
English,1920,2.53E-08,3.54E-08,9.77E-09,3.62E-07,6.01E-07,2.28E-06,7.33E-08,4.19E-07
English,1921,3.39E-08,5.08E-08,9.40E-09,3.59E-07,6.14E-07,2.31E-06,7.43E-08,5.96E-07
English,1922,3.80E-08,5.28E-08,9.94E-09,3.67E-07,6.27E-07,2.29E-06,7.86E-08,7.57E-07
English,1923,5.17E-08,5.19E-08,1.03E-08,3.69E-07,6.70E-07,2.23E-06,8.50E-08,9.52E-07
English,1924,6.99E-08,5.31E-08,1.07E-08,3.66E-07,6.98E-07,2.21E-06,8.79E-08,1.21E-06
English,1925,1.20E-07,5.46E-08,1.04E-08,3.65E-07,7.25E-07,2.22E-06,8.87E-08,1.42E-06
English,1926,3.05E-07,6.12E-08,1.09E-08,3.68E-07,7.80E-07,2.23E-06,8.76E-08,1.53E-06
English,1927,5.94E-07,7.07E-08,1.05E-08,3.56E-07,8.40E-07,2.22E-06,8.23E-08,1.62E-06
English,1928,1.01E-06,6.14E-08,1.12E-08,3.48E-07,8.91E-07,2.16E-06,8.05E-08,1.67E-06
English,1929,1.23E-06,6.33E-08,1.13E-08,3.37E-07,9.55E-07,2.09E-06,7.86E-08,1.73E-06
English,1930,1.49E-06,6.85E-08,1.47E-08,3.20E-07,9.74E-07,2.07E-06,6.94E-08,1.72E-06
English,1931,1.79E-06,7.21E-08,1.45E-08,3.13E-07,1.01E-06,2.01E-06,6.60E-08,1.60E-06
